task_id,task_type,difficulty,instruction,input
54,summarization,medium,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
55,reasoning,hard,"Explain the reasoning behind this statement: If all cats are mammals, and all mammals are animals, then all cats are animals.","If all cats are mammals, and all mammals are animals, then all cats are animals."
56,reasoning,medium,Explain the reasoning behind this statement: Metals conduct electricity because they have free electrons.,Metals conduct electricity because they have free electrons.
57,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
58,qa,easy,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
59,summarization,hard,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
60,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The product broke after just one week of use.",The product broke after just one week of use.
61,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: I'm not sure how I feel about this product. It's okay I guess.",I'm not sure how I feel about this product. It's okay I guess.
62,summarization,hard,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
63,reasoning,easy,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
64,reasoning,hard,Explain the reasoning behind this statement: Vaccines work by training the immune system to recognize pathogens.,Vaccines work by training the immune system to recognize pathogens.
65,summarization,hard,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
66,qa,medium,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
67,translation,hard,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
68,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Best purchase ever! Highly recommend to everyone.",Best purchase ever! Highly recommend to everyone.
69,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: This movie was absolutely fantastic! I loved every minute of it.",This movie was absolutely fantastic! I loved every minute of it.
70,reasoning,hard,Explain the reasoning behind this statement: Plants grow toward light because of phototropism.,Plants grow toward light because of phototropism.
71,reasoning,easy,"Explain the reasoning behind this statement: If all cats are mammals, and all mammals are animals, then all cats are animals.","If all cats are mammals, and all mammals are animals, then all cats are animals."
72,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: This movie was absolutely fantastic! I loved every minute of it.",This movie was absolutely fantastic! I loved every minute of it.
73,summarization,easy,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
74,qa,easy,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
75,summarization,medium,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
76,summarization,hard,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
77,reasoning,hard,Explain the reasoning behind this statement: Metals conduct electricity because they have free electrons.,Metals conduct electricity because they have free electrons.
78,summarization,medium,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
79,summarization,easy,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
80,translation,medium,Translate this English text to French: I love learning new languages.,I love learning new languages.
81,translation,medium,"Translate this English text to French: Hello, how are you today?","Hello, how are you today?"
82,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
83,qa,easy,"Answer the question based on the context: Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth.","Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth."
84,summarization,easy,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
85,translation,easy,Translate this English text to French: I love learning new languages.,I love learning new languages.
86,summarization,medium,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
87,summarization,easy,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
88,reasoning,easy,"Explain the reasoning behind this statement: If all cats are mammals, and all mammals are animals, then all cats are animals.","If all cats are mammals, and all mammals are animals, then all cats are animals."
89,reasoning,easy,Explain the reasoning behind this statement: The sky appears blue because of Rayleigh scattering.,The sky appears blue because of Rayleigh scattering.
90,summarization,easy,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
91,translation,medium,Translate this English text to French: Where is the nearest train station?,Where is the nearest train station?
92,translation,easy,Translate this English text to French: I would like to order a coffee please.,I would like to order a coffee please.
93,translation,easy,Translate this English text to French: I love learning new languages.,I love learning new languages.
94,qa,medium,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
95,translation,hard,Translate this English text to French: Can you help me find my way?,Can you help me find my way?
96,translation,easy,Translate this English text to French: Where is the nearest train station?,Where is the nearest train station?
97,qa,easy,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
98,reasoning,hard,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
99,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
100,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Not worth the price. There are better alternatives.",Not worth the price. There are better alternatives.
101,translation,hard,Translate this English text to French: Can you help me find my way?,Can you help me find my way?
102,summarization,easy,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
103,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: The service was terrible and the food was cold.",The service was terrible and the food was cold.
104,reasoning,easy,Explain the reasoning behind this statement: Plants grow toward light because of phototropism.,Plants grow toward light because of phototropism.
105,translation,easy,Translate this English text to French: The book is on the table.,The book is on the table.
106,summarization,hard,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
107,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The service was terrible and the food was cold.",The service was terrible and the food was cold.
108,translation,hard,Translate this English text to French: The book is on the table.,The book is on the table.
109,reasoning,hard,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
110,qa,easy,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
111,summarization,medium,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
112,summarization,hard,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
113,translation,medium,Translate this English text to French: The weather is beautiful this morning.,The weather is beautiful this morning.
114,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: Not worth the price. There are better alternatives.",Not worth the price. There are better alternatives.
115,reasoning,easy,Explain the reasoning behind this statement: The sky appears blue because of Rayleigh scattering.,The sky appears blue because of Rayleigh scattering.
116,reasoning,easy,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
117,qa,easy,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
118,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
119,qa,easy,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
120,reasoning,hard,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
121,reasoning,hard,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
122,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: An incredible experience from start to finish.",An incredible experience from start to finish.
123,qa,hard,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
124,summarization,medium,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
125,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: An incredible experience from start to finish.",An incredible experience from start to finish.
126,summarization,medium,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
127,reasoning,easy,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
128,summarization,hard,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
129,reasoning,medium,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
130,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
131,qa,easy,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
132,qa,easy,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
